date,sku_id,destination_dc,units_sold
2026-05-18,SKU-1001,Pune DC,54
2026-05-19,SKU-1001,Pune DC,55
2026-05-20,SKU-1001,Pune DC,55
2026-05-21,SKU-1001,Pune DC,53
2026-05-22,SKU-1001,Pune DC,49
2026-05-23,SKU-1001,Pune DC,45
2026-05-24,SKU-1001,Pune DC,48
2026-05-25,SKU-1001,Pune DC,42
2026-05-26,SKU-1001,Pune DC,44
2026-05-27,SKU-1001,Pune DC,51
2026-05-28,SKU-1001,Pune DC,46
2026-05-29,SKU-1001,Pune DC,49
2026-05-30,SKU-1001,Pune DC,53
2026-05-31,SKU-1001,Pune DC,50
2026-06-01,SKU-1001,Pune DC,47
2026-06-02,SKU-1001,Pune DC,48
2026-06-03,SKU-1001,Pune DC,46
2026-06-04,SKU-1001,Pune DC,51
2026-06-05,SKU-1001,Pune DC,46
2026-06-06,SKU-1001,Pune DC,51
2026-06-07,SKU-1001,Pune DC,46
2026-06-08,SKU-1001,Pune DC,43
2026-06-09,SKU-1001,Pune DC,45
2026-06-10,SKU-1001,Pune DC,51
2026-06-11,SKU-1001,Pune DC,41
2026-06-12,SKU-1001,Pune DC,46
2026-06-13,SKU-1001,Pune DC,46
2026-06-14,SKU-1001,Pune DC,52
2026-06-15,SKU-1001,Pune DC,46
2026-06-16,SKU-1001,Pune DC,48
2026-06-17,SKU-1001,Pune DC,54
2026-06-18,SKU-1001,Pune DC,42
2026-06-19,SKU-1001,Pune DC,43
2026-06-20,SKU-1001,Pune DC,41
2026-06-21,SKU-1001,Pune DC,49
2026-06-22,SKU-1001,Pune DC,53
2026-06-23,SKU-1001,Pune DC,54
2026-06-24,SKU-1001,Pune DC,45
2026-06-25,SKU-1001,Pune DC,45
2026-06-26,SKU-1001,Pune DC,42
2026-06-27,SKU-1001,Pune DC,41
2026-06-28,SKU-1001,Pune DC,42
2026-06-29,SKU-1001,Pune DC,43
2026-06-30,SKU-1001,Pune DC,42
2026-07-01,SKU-1001,Pune DC,49
2026-07-02,SKU-1001,Pune DC,48
2026-07-03,SKU-1001,Pune DC,50
2026-07-04,SKU-1001,Pune DC,45
2026-07-05,SKU-1001,Pune DC,41
2026-07-06,SKU-1001,Pune DC,41
2026-07-07,SKU-1001,Pune DC,45
2026-07-08,SKU-1001,Pune DC,43
2026-07-09,SKU-1001,Pune DC,42
2026-07-10,SKU-1001,Pune DC,51
2026-07-11,SKU-1001,Pune DC,42
2026-07-12,SKU-1001,Pune DC,53
2026-07-13,SKU-1001,Pune DC,49
2026-07-14,SKU-1001,Pune DC,47
2026-07-15,SKU-1001,Pune DC,54
2026-07-16,SKU-1001,Pune DC,41
2026-07-17,SKU-1001,Pune DC,54
2026-07-18,SKU-1001,Pune DC,47
2026-07-19,SKU-1001,Pune DC,43
2026-07-20,SKU-1001,Pune DC,51
2026-07-21,SKU-1001,Pune DC,55
2026-07-22,SKU-1001,Pune DC,52
2026-07-23,SKU-1001,Pune DC,44
2026-07-24,SKU-1001,Pune DC,44
2026-07-25,SKU-1001,Pune DC,43
2026-07-26,SKU-1001,Pune DC,80
2026-07-27,SKU-1001,Pune DC,81
2026-07-28,SKU-1001,Pune DC,69
2026-07-29,SKU-1001,Pune DC,66
2026-07-30,SKU-1001,Pune DC,79
2026-07-31,SKU-1001,Pune DC,86
2026-08-01,SKU-1001,Pune DC,78
2026-08-02,SKU-1001,Pune DC,85
2026-08-03,SKU-1001,Pune DC,84
2026-08-04,SKU-1001,Pune DC,88
2026-08-05,SKU-1001,Pune DC,86
2026-08-06,SKU-1001,Pune DC,86
2026-08-07,SKU-1001,Pune DC,75
2026-08-08,SKU-1001,Pune DC,84
2026-08-09,SKU-1001,Pune DC,88
2026-08-10,SKU-1001,Pune DC,81
2026-08-11,SKU-1001,Pune DC,70
2026-08-12,SKU-1001,Pune DC,85
2026-08-13,SKU-1001,Pune DC,74
2026-08-14,SKU-1001,Pune DC,83
2026-08-15,SKU-1001,Pune DC,74
2026-05-18,SKU-1001,Chennai DC,41
2026-05-19,SKU-1001,Chennai DC,44
2026-05-20,SKU-1001,Chennai DC,39
2026-05-21,SKU-1001,Chennai DC,42
2026-05-22,SKU-1001,Chennai DC,45
2026-05-23,SKU-1001,Chennai DC,42
2026-05-24,SKU-1001,Chennai DC,36
2026-05-25,SKU-1001,Chennai DC,38
2026-05-26,SKU-1001,Chennai DC,40
2026-05-27,SKU-1001,Chennai DC,41
2026-05-28,SKU-1001,Chennai DC,42
2026-05-29,SKU-1001,Chennai DC,38
2026-05-30,SKU-1001,Chennai DC,42
2026-05-31,SKU-1001,Chennai DC,43
2026-06-01,SKU-1001,Chennai DC,36
2026-06-02,SKU-1001,Chennai DC,45
2026-06-03,SKU-1001,Chennai DC,42
2026-06-04,SKU-1001,Chennai DC,43
2026-06-05,SKU-1001,Chennai DC,43
2026-06-06,SKU-1001,Chennai DC,40
2026-06-07,SKU-1001,Chennai DC,45
2026-06-08,SKU-1001,Chennai DC,43
2026-06-09,SKU-1001,Chennai DC,37
2026-06-10,SKU-1001,Chennai DC,45
2026-06-11,SKU-1001,Chennai DC,42
2026-06-12,SKU-1001,Chennai DC,41
2026-06-13,SKU-1001,Chennai DC,35
2026-06-14,SKU-1001,Chennai DC,42
2026-06-15,SKU-1001,Chennai DC,34
2026-06-16,SKU-1001,Chennai DC,45
2026-06-17,SKU-1001,Chennai DC,35
2026-06-18,SKU-1001,Chennai DC,45
2026-06-19,SKU-1001,Chennai DC,34
2026-06-20,SKU-1001,Chennai DC,40
2026-06-21,SKU-1001,Chennai DC,44
