date,sku_id,destination_dc,units_sold
2024-08-17,SKU-1001,Pune DC,43
2024-08-18,SKU-1001,Pune DC,50
2024-08-19,SKU-1001,Pune DC,43
2024-08-20,SKU-1001,Pune DC,50
2024-08-21,SKU-1001,Pune DC,51
2024-08-22,SKU-1001,Pune DC,43
2024-08-23,SKU-1001,Pune DC,46
2024-08-24,SKU-1001,Pune DC,51
2024-08-25,SKU-1001,Pune DC,48
2024-08-26,SKU-1001,Pune DC,54
2024-08-27,SKU-1001,Pune DC,49
2024-08-28,SKU-1001,Pune DC,47
2024-08-29,SKU-1001,Pune DC,45
2024-08-30,SKU-1001,Pune DC,53
2024-08-31,SKU-1001,Pune DC,45
2024-09-01,SKU-1001,Pune DC,44
2024-09-02,SKU-1001,Pune DC,45
2024-09-03,SKU-1001,Pune DC,47
2024-09-04,SKU-1001,Pune DC,51
2024-09-05,SKU-1001,Pune DC,53
2024-09-06,SKU-1001,Pune DC,46
2024-09-07,SKU-1001,Pune DC,44
2024-09-08,SKU-1001,Pune DC,54
2024-09-09,SKU-1001,Pune DC,55
2024-09-10,SKU-1001,Pune DC,45
2024-09-11,SKU-1001,Pune DC,51
2024-09-12,SKU-1001,Pune DC,54
2024-09-13,SKU-1001,Pune DC,52
2024-09-14,SKU-1001,Pune DC,50
2024-09-15,SKU-1001,Pune DC,43
2024-09-16,SKU-1001,Pune DC,48
2024-09-17,SKU-1001,Pune DC,42
2024-09-18,SKU-1001,Pune DC,54
2024-09-19,SKU-1001,Pune DC,51
2024-09-20,SKU-1001,Pune DC,53
2024-09-21,SKU-1001,Pune DC,43
2024-09-22,SKU-1001,Pune DC,48
2024-09-23,SKU-1001,Pune DC,52
2024-09-24,SKU-1001,Pune DC,49
2024-09-25,SKU-1001,Pune DC,47
2024-09-26,SKU-1001,Pune DC,53
2024-09-27,SKU-1001,Pune DC,48
2024-09-28,SKU-1001,Pune DC,54
2024-09-29,SKU-1001,Pune DC,44
2024-09-30,SKU-1001,Pune DC,51
2024-10-01,SKU-1001,Pune DC,43
2024-10-02,SKU-1001,Pune DC,44
2024-10-03,SKU-1001,Pune DC,54
2024-10-04,SKU-1001,Pune DC,52
2024-10-05,SKU-1001,Pune DC,45
2024-10-06,SKU-1001,Pune DC,41
2024-10-07,SKU-1001,Pune DC,48
2024-10-08,SKU-1001,Pune DC,54
2024-10-09,SKU-1001,Pune DC,41
2024-10-10,SKU-1001,Pune DC,41
2024-10-11,SKU-1001,Pune DC,49
2024-10-12,SKU-1001,Pune DC,45
2024-10-13,SKU-1001,Pune DC,51
2024-10-14,SKU-1001,Pune DC,46
2024-10-15,SKU-1001,Pune DC,50
2024-10-16,SKU-1001,Pune DC,46
2024-10-17,SKU-1001,Pune DC,48
2024-10-18,SKU-1001,Pune DC,55
2024-10-19,SKU-1001,Pune DC,49
2024-10-20,SKU-1001,Pune DC,54
2024-10-21,SKU-1001,Pune DC,51
2024-10-22,SKU-1001,Pune DC,51
2024-10-23,SKU-1001,Pune DC,55
2024-10-24,SKU-1001,Pune DC,44
2024-10-25,SKU-1001,Pune DC,45
2024-10-26,SKU-1001,Pune DC,45
2024-10-27,SKU-1001,Pune DC,46
2024-10-28,SKU-1001,Pune DC,41
2024-10-29,SKU-1001,Pune DC,42
2024-10-30,SKU-1001,Pune DC,48
2024-10-31,SKU-1001,Pune DC,44
2024-11-01,SKU-1001,Pune DC,54
2024-11-02,SKU-1001,Pune DC,44
2024-11-03,SKU-1001,Pune DC,45
2024-11-04,SKU-1001,Pune DC,46
2024-11-05,SKU-1001,Pune DC,46
2024-11-06,SKU-1001,Pune DC,55
2024-11-07,SKU-1001,Pune DC,46
2024-11-08,SKU-1001,Pune DC,43
2024-11-09,SKU-1001,Pune DC,43
2024-11-10,SKU-1001,Pune DC,46
2024-11-11,SKU-1001,Pune DC,47
2024-11-12,SKU-1001,Pune DC,55
2024-11-13,SKU-1001,Pune DC,42
2024-11-14,SKU-1001,Pune DC,47
2024-11-15,SKU-1001,Pune DC,43
2024-11-16,SKU-1001,Pune DC,49
2024-11-17,SKU-1001,Pune DC,45
2024-11-18,SKU-1001,Pune DC,51
2024-11-19,SKU-1001,Pune DC,49
2024-11-20,SKU-1001,Pune DC,52
2024-11-21,SKU-1001,Pune DC,51
2024-11-22,SKU-1001,Pune DC,45
2024-11-23,SKU-1001,Pune DC,43
2024-11-24,SKU-1001,Pune DC,42
2024-11-25,SKU-1001,Pune DC,48
2024-11-26,SKU-1001,Pune DC,42
2024-11-27,SKU-1001,Pune DC,45
2024-11-28,SKU-1001,Pune DC,42
2024-11-29,SKU-1001,Pune DC,54
2024-11-30,SKU-1001,Pune DC,45
2024-12-01,SKU-1001,Pune DC,77
2024-12-02,SKU-1001,Pune DC,78
2024-12-03,SKU-1001,Pune DC,77
2024-12-04,SKU-1001,Pune DC,69
2024-12-05,SKU-1001,Pune DC,68
2024-12-06,SKU-1001,Pune DC,68
2024-12-07,SKU-1001,Pune DC,87
2024-12-08,SKU-1001,Pune DC,75
