date,sku_id,quantity_ordered
2026-05-18,SKU-1001,1531
2026-05-28,SKU-1001,1266
2026-06-07,SKU-1001,1202
2026-06-17,SKU-1001,1253
2026-06-27,SKU-1001,1384
2026-07-07,SKU-1001,1558
2026-07-17,SKU-1001,1377
2026-07-27,SKU-1001,2001
2026-08-06,SKU-1001,2406
2026-05-18,SKU-1002,628
2026-05-28,SKU-1002,786
2026-06-07,SKU-1002,735
2026-06-17,SKU-1002,704
2026-06-27,SKU-1002,648
2026-07-07,SKU-1002,594
2026-07-17,SKU-1002,641
2026-07-27,SKU-1002,759
2026-08-06,SKU-1002,672
2026-05-18,SKU-1003,770
2026-05-28,SKU-1003,825
2026-06-07,SKU-1003,978
2026-06-17,SKU-1003,849
2026-06-27,SKU-1003,967
2026-07-07,SKU-1003,776
2026-07-17,SKU-1003,756
2026-07-27,SKU-1003,948
2026-08-06,SKU-1003,891
2026-05-18,SKU-1007,974
2026-05-28,SKU-1007,979
2026-06-07,SKU-1007,894
2026-06-17,SKU-1007,967
2026-06-27,SKU-1007,936
2026-07-07,SKU-1007,1144
2026-07-17,SKU-1007,984
2026-07-27,SKU-1007,1041
2026-08-06,SKU-1007,1061
2026-05-18,SKU-1010,592
2026-05-28,SKU-1010,485
2026-06-07,SKU-1010,457
2026-06-17,SKU-1010,501
2026-06-27,SKU-1010,449
2026-07-07,SKU-1010,548
2026-07-17,SKU-1010,447
2026-07-27,SKU-1010,920
2026-08-06,SKU-1010,769
