order_id,medicine_type,order_quantity,urgency_level,unit_quote_price_usd,lead_time_days,supplier_reliability,on_time_delivery_rate,defect_rate_pct,cold_chain_compliance_pct,selected_supplier
ORD-00001,Vaccine,2500,Medium,272.99,7,0.891,0.918,0.6,93.9,OmniHealth Labs
ORD-00002,Painkiller,2500,Standard,41.76,4,0.929,0.9,0.01,97.3,MediCore Labs
ORD-00003,Antibiotic,250,High,111.03,7,1.0,0.881,0.85,96.5,PharmaTrust Global
ORD-00004,Antiviral,500,Standard,197.05,4,0.796,0.894,0.06,99.4,Vanguard Pharma
ORD-00005,Antibiotic,250,Medium,129.74,6,0.916,0.89,0.39,98.0,NovaCure Therapeutics
ORD-00006,Antibiotic,5000,Medium,113.5,5,0.934,0.903,1.57,94.5,Zenith LifeSciences
ORD-00007,Insulin,2500,Standard,269.65,4,0.92,0.955,0.5,95.9,VitalCare Pharmaceuticals
ORD-00008,Antiviral,500,Medium,230.76,4,0.856,0.9,0.55,95.4,MediCore Labs
ORD-00009,Antibiotic,1000,Medium,133.8,5,0.944,0.89,0.75,98.2,NovaCure Therapeutics
ORD-00010,Immunosuppressant,500,High,380.78,4,0.911,0.867,0.19,95.2,OmniHealth Labs
ORD-00011,Painkiller,500,Medium,43.84,1,0.845,0.811,0.2,96.6,Beacon Pharmaceuticals
ORD-00012,Vaccine,1000,Medium,297.66,8,0.898,0.866,0.95,94.8,Summit BioSolutions
ORD-00013,Cardiovascular Drug,5000,High,158.83,7,0.916,0.943,0.88,97.0,Aegis Health Supplies
ORD-00014,Painkiller,500,Medium,46.33,3,0.881,0.797,0.43,95.3,Beacon Pharmaceuticals
ORD-00015,Monoclonal Antibody,5000,Standard,4664.85,1,0.925,0.949,1.0,92.7,VitalCare Pharmaceuticals
ORD-00016,Chemotherapy Agent,5000,High,504.51,11,0.982,0.899,0.51,95.1,GlobalRx Supply Chain
ORD-00017,Antihistamine,2500,Medium,53.67,2,0.878,0.838,0.74,99.8,Aegis Health Supplies
ORD-00018,Immunosuppressant,250,Standard,343.91,5,0.897,0.925,0.76,95.2,OmniHealth Labs
ORD-00019,Cardiovascular Drug,2500,Medium,175.81,8,0.924,0.905,1.11,98.3,Aegis Health Supplies
ORD-00020,Chemotherapy Agent,500,Medium,584.9,9,0.97,0.905,0.12,95.4,GlobalRx Supply Chain
ORD-00021,Vaccine,500,High,273.46,5,0.955,0.919,0.5,98.1,OmniHealth Labs
ORD-00022,Immunosuppressant,100,High,316.25,6,0.864,0.941,0.72,94.6,OmniHealth Labs
ORD-00023,Insulin,1000,Standard,216.1,6,0.955,0.874,0.47,95.4,Apex BioPharma
ORD-00024,Antihistamine,5000,Medium,65.86,5,0.846,0.956,0.71,95.4,Zenith LifeSciences
ORD-00025,Monoclonal Antibody,250,High,4368.01,5,0.953,0.977,1.43,97.0,MediCore Labs
ORD-00026,Painkiller,5000,Medium,42.64,11,0.96,0.895,1.22,93.5,BioMatrix International
ORD-00027,Antihistamine,1000,Standard,52.75,5,0.918,0.92,0.84,97.1,Aegis Health Supplies
ORD-00028,Insulin,250,High,231.01,6,0.919,0.932,0.3,95.3,Apex BioPharma
ORD-00029,Antibiotic,100,High,142.75,4,0.906,0.902,0.36,99.1,NovaCure Therapeutics
ORD-00030,Cardiovascular Drug,5000,Standard,184.28,8,0.897,0.916,1.07,96.3,Aegis Health Supplies
ORD-00031,Insulin,1000,Standard,225.72,6,0.948,0.9,0.42,98.4,VitalCare Pharmaceuticals
ORD-00032,Antiviral,250,High,244.69,10,0.857,0.89,0.14,97.2,GlobalRx Supply Chain
ORD-00033,Immunosuppressant,500,Standard,427.91,6,0.927,0.958,1.25,97.2,Bharat BioLogics
