supplier_id,supplier_name,country,gmp_certified,risk_tier,sku_id,category,unit_price,currency,minimum_order_quantity,payment_terms_days,lead_time_days,on_time_delivery_pct,fill_rate_pct,quality_score,defect_rate_pct,max_capacity_units_per_month,current_utilization_pct,valid_from,valid_to,suitability_score,is_preferred
SUP-001,MedPharm Trading Co.,GB,True,LOW,SKU-API-002,Active Ingredient,2.3436,USD,500,30,1,0.9351,0.9244,0.9291,0.00554,13470,0.6477,2025-04-08,,0.8793,True
SUP-001,MedPharm Trading Co.,GB,True,LOW,SKU-API-001,Active Ingredient,2.4584,USD,250,60,1,0.9653,0.965,0.9119,0.01703,20609,0.6477,2025-05-27,,0.9143,True
SUP-002,GlobalRx Trading Co.,IN,True,LOW,SKU-PKG-002,Secondary Packaging,0.2078,USD,1000,45,1,0.9589,0.9473,0.9548,0.00608,35201,0.5404,2025-09-09,,0.5724,False
SUP-003,AxisPharma Industries Inc.,IN,True,LOW,SKU-API-001,Active Ingredient,2.6551,USD,1000,30,4,0.9584,0.9509,0.9187,0.00931,24751,0.6748,2026-06-30,,0.5664,False
SUP-003,AxisPharma Industries Inc.,IN,True,LOW,SKU-PKG-001,Primary Packaging,0.3946,USD,1000,30,1,0.9384,0.9491,0.9388,0.00641,10349,0.6748,2026-01-26,,0.8246,True
SUP-004,ApexRx Distributors Inc.,IN,True,LOW,SKU-PKG-001,Primary Packaging,0.3886,USD,200,15,3,0.9761,0.9337,0.9075,0.01691,6683,0.6232,2025-06-22,,0.5467,False
SUP-005,SpectraRx Corporation,US,True,LOW,SKU-API-001,Active Ingredient,2.5708,USD,750,45,2,0.9785,0.9434,0.9222,0.01739,32984,0.4301,2024-10-19,,0.5921,False
SUP-006,ZenithMed International Ltd.,JP,True,LOW,SKU-API-001,Active Ingredient,2.8081,USD,100,15,2,0.9399,0.989,0.9031,0.01066,45126,0.7122,2025-02-06,,0.5961,False
SUP-007,OmniPharm Corporation,GB,True,LOW,SKU-API-002,Active Ingredient,2.4571,USD,1000,30,1,0.9611,0.9705,0.9221,0.01504,23460,0.6436,2024-11-01,,0.7125,True
SUP-007,OmniPharm Corporation,GB,True,LOW,SKU-EXC-001,Excipient,0.5847,USD,100,90,1,0.9457,0.8904,0.9656,0.00813,42400,0.6436,2026-03-30,,0.6855,False
SUP-008,MedPharm Bio-Sciences Ltd.,DE,True,LOW,SKU-EXC-001,Excipient,0.5336,USD,500,90,2,0.9825,1.0,0.9138,0.00903,19419,0.6515,2025-07-30,,0.6753,False
SUP-009,CertaPharm Medical Supply,DE,True,LOW,SKU-EXC-001,Excipient,0.5305,USD,1000,30,3,0.9308,0.9421,0.9161,0.00671,10482,0.441,2025-07-26,,0.6471,False
SUP-010,UltraRx Group LLC,IN,True,LOW,SKU-EXC-001,Excipient,0.58,USD,500,15,4,0.942,0.9607,0.9563,0.0143,42168,0.5441,2025-09-14,,0.5813,False
